date,activeCases,deaths,recoveries
02/15/20,15,0,0
02/16/20,16,0,0
02/17/20,20,0,0
02/18/20,19,0,1
02/19/20,42,1,4
02/20/20,94,1,0
02/21/20,190,1,1
02/22/20,416,0,1
02/23/20,578,4,0
02/24/20,803,2,4
02/25/20,944,3,0
02/26/20,1225,1,2
02/27/20,1729,1,0
02/28/20,2297,3,0
02/29/20,3109,1,0
03/01/20,3685,4,6
03/02/20,4277,7,0
03/03/20,5120,4,4
03/04/20,5498,3,54
03/05/20,6107,7,47
03/06/20,6415,1,0
03/07/20,6875,5,17
03/08/20,7097,2,48
03/09/20,7178,3,81
03/10/20,7165,7,41
03/11/20,7362,0,45
03/12/20,7293,6,177
03/13/20,7198,1,204
03/14/20,7180,5,120
03/15/20,7253,3,0
03/16/20,7024,0,303
