date,activeCases,deaths,recoveries
02/15/20,12,0,0
02/16/20,12,0,0
02/17/20,12,0,0
02/18/20,12,0,0
02/19/20,12,0,0
02/20/20,10,0,2
02/21/20,29,0,1
02/22/20,29,0,0
02/23/20,28,0,0
02/24/20,48,0,0
02/25/20,51,0,1
02/26/20,54,0,0
02/27/20,54,0,0
02/28/20,57,0,0
02/29/20,60,1,1
03/01/20,65,0,2
03/02/20,85,5,0
03/03/20,106,3,0
03/04/20,138,2,0
03/05/20,200,1,0
03/06/20,289,3,6
03/07/20,401,4,0
03/08/20,504,3,0
03/09/20,663,4,0
03/10/20,949,4,0
03/11/20,1248,8,0
03/12/20,1625,3,16
03/13/20,2157,8,10
03/14/20,2830,8,15
03/15/20,3553,11,3
03/16/20,4503,18,15
